price,bedrooms,living_in_m2,real_bathrooms
363000,2,182.08988,1
414000,3,282.889635,3
375000,3,195.09629999999999,2
350000,2,170.94152,2
500000,3,238.76071,3
459000,3,219.25108,2
480000,3,200.67048,2
520000,2,132.85129,1
625000,3,277.77997,2
471001,2,167.2254,1
1015000,2,267.56064,3
565000,2,157.9351,2
316000,3,196.95436,1
339000,2,194.16727,2
380000,1,92.903,1
376000,1,81.75464,1
500000,1,121.70293,2
652000,2,136.56741,1
637800,3,209.03175,1
552000,2,104.05136,1
489500,3,253.62519,3
450000,3,365.201693,3
295000,2,179.30279,1
287000,3,247.12198,2
225000,2,115.19972,1
515500,3,271.27676,2
303000,2,124.49002,2
157500,1,68.74822,1
800000,3,235.97362,3
270000,3,250.931003,2
620000,2,164.99572799999999,2
505000,3,276.85094,2
597500,2,243.40586,2
432500,2,208.10272,2
250000,2,108.69651,2
499900,2,195.09629999999999,2
269800,3,170.01248999999999,2
575000,1,130.0642,1
359950,3,236.159426,2
750000,3,305.65087,2
530000,2,143.99965,3
819000,2,120.7739,1
437000,3,157.9351,1
562000,3,191.38018,1
330000,3,226.68332,2
489000,2,94.76106,1
515000,2,157.00607,2
461000,2,157.00607,2
757000,2,296.36057,3
360000,3,170.94152,2
219950,1,91.97397,1
808000,3,232.2575,2
220000,3,117.05778,1
265000,2,175.58667,2
375000,1,114.27069,1
170000,2,73.39337,1
266490,2,168.15443,2
266000,3,185.341485,2
200000,1,130.0642,1
715000,2,257.34131,2
421000,1,130.0642,1
864000,3,296.36057,2
555000,1,181.16085,2
870000,3,258.27034,1
749000,2,248.05101,2
354500,2,106.83845,1
477500,3,261.521945,3
560000,2,105.90942,1
261950,2,174.65764,2
360000,2,197.88339,2
350000,1,83.6127,1
290000,2,135.63838,1
429000,3,170.94152,2
255000,2,124.49002,1
502000,3,189.52212,2
750000,2,222.9672,2
379950,2,189.52212,1
490500,2,278.709,2
280000,1,93.83203,1
338000,3,194.16727,3
550000,2,81.75464,1
999000,3,292.64445,3
552000,2,118.91584,2
437500,3,248.98004,2
229950,1,85.47076,1
430000,2,161.65122,1
555000,2,195.09629999999999,3
420000,3,124.49002,1
195000,2,117.05778,1
314200,1,56.67083,1
267000,2,133.78032,1
435000,3,253.62519,2
181000,1,144.92867999999999,1
1050000,2,301.93475,3
435000,1,98.47718,1
519995,3,240.61877,3
579950,2,131.92226,3
374500,2,123.56099,1
316000,3,215.53496,2
680000,3,234.11556,2
625000,3,212.74787,2
460000,1,170.01248999999999,2
720000,2,127.27711,1
900000,3,183.94794,2
585000,3,172.79958,2
429000,2,205.31563,3
246500,1,87.32882,1
334000,3,106.83845,1
645000,2,217.39302,1
194250,2,203.45757,2
474000,2,142.14159,1
244000,1,109.62554,1
376950,3,245.542629,2
388000,2,204.200794,2
539950,2,169.08346,1
207000,2,135.63838,1
250000,3,122.63195999999999,1
310000,2,141.21256,1
625000,3,229.47041,2
536500,1,126.34808,2
150000,2,93.83203,1
450000,3,329.80565,2
300000,3,240.61877,2
285000,1,91.97397,1
290000,2,187.66406,2
285000,1,73.39337,1
471000,2,186.73503,2
157500,2,102.1933,1
640000,2,150.50286,2
215000,2,102.1933,1
675000,3,236.90265,3
602000,1,136.56741,1
635000,3,247.12198,2
530000,3,232.2575,2
445700,2,117.98681,2
279000,2,143.07062,2
910000,2,280.56706,3
292050,3,263.84452,3
445000,1,111.4836,2
697000,3,299.14766,2
350000,2,230.39944,1
500000,2,142.14159,1
180000,2,182.08988,1
770000,3,234.11556,1
735000,3,287.9993,2
367000,2,185.806,1
339000,3,222.03817,1
259950,2,135.63838,1
830000,2,313.08311,2
745000,3,290.78639,2
241000,2,153.28995,2
299950,2,180.23182,1
260000,3,184.87697,2
505000,1,257.34131,3
840000,3,272.20579,1
123300,2,106.83845,1
557500,2,176.5157,1
515000,2,185.806,2
379500,3,237.83168,2
230000,2,142.14159,1
450000,2,184.87697,2
291000,2,118.91584,1
249950,2,155.14801,2
210000,3,217.39302,1
820000,3,224.82526,2
615000,2,166.29637,1
240000,2,148.6448,1
275000,2,170.01248999999999,2
570000,1,105.90942,2
532170,2,126.34808,2
545000,2,161.65122,2
756000,3,253.62519,2
554000,1,76.18046,1
390000,2,96.61912,1
485000,3,229.47041,2
258500,2,135.63838,2
475000,3,243.40586,2
295000,2,78.96755,1
549995,2,104.05136,1
902000,3,281.49609,2
460000,1,129.13517,1
790000,3,169.08346,1
325000,2,192.30921,2
410000,3,237.83168,2
390000,2,110.55457,1
1052000,2,172.79958,1
530000,2,117.42939199999999,2
405000,2,176.5157,1
235000,2,207.17369,1
525000,1,126.34808,1
215000,1,90.11591,1
159000,2,126.34808,1
390500,1,135.63838,1
775000,3,291.71542,2
410000,2,114.27069,1
490000,2,140.28353,1
735000,3,229.47041,2
335000,2,94.76106,1
265000,2,141.21256,1
311000,2,130.0642,2
395000,2,137.49644,1
685100,3,259.19937,2
605000,2,163.50928,3
410000,3,166.29637,1
162000,3,135.63838,1
324500,2,147.71577,2
750000,3,162.58025,2
312620,2,117.05778,2
550000,3,223.89623,1
682000,3,196.95436,2
887000,3,355.81849,2
208000,3,168.15443,2
619950,1,141.21256,1
750000,3,241.5478,2
217500,1,99.40621,2
580379,3,208.10272,2
551100,2,132.85129,1
345000,3,216.556893,2
304000,3,121.70293,2
575000,3,189.52212,2
369950,2,141.21256,2
360000,2,140.28353,1
396000,3,263.84452,2
384000,2,132.85129,2
350000,2,120.7739,1
538200,3,165.36734,3
599000,3,230.39944,2
717550,2,263.84452,3
375000,2,181.16085,2
735000,2,261.98646,2
199950,2,140.28353,1
250000,2,99.592016,1
308000,3,182.08988,2
710000,2,130.0642,1
225000,3,181.16085,1
650000,2,173.72861,2
390000,2,153.28995,1
315000,3,181.16085,2
150000,2,111.4836,1
335000,2,140.28353,1
197500,2,123.56099,1
480000,2,276.85094,2
330000,2,124.49002,1
538250,2,240.61877,2
410000,3,105.90942,1
313999,3,173.72861,2
330000,3,205.31563,2
437500,2,117.05778,2
547000,3,204.3866,3
360000,3,193.23824,2
725000,3,224.82526,3
294000,1,128.20614,2
230500,2,157.00607,2
720000,3,266.63161,2
195000,2,99.40621,1
200000,2,93.83203,2
350000,3,209.03175,1
1075000,3,325.1605,3
529950,2,115.19972,2
230000,1,71.53531,1
393000,2,198.81242,2
485000,2,310.29602,2
360000,3,190.45115,2
224950,2,151.43189,1
460000,2,252.69616,2
780000,3,216.46399,1
540000,1,152.36092,2
425000,2,183.01891,1
649800,3,211.81884,2
1075000,3,334.4508,3
1080000,2,345.59916,2
332544,1,158.86413,1
700000,3,249.90906999999999,2
242000,3,208.10272,1
700000,3,262.91549,2
327500,2,169.08346,2
850000,3,364.17976,3
490000,3,225.75429,2
780000,3,362.3217,3
290000,2,112.41263,1
460000,2,142.14159,2
410000,2,153.28995,2
800000,1,145.85771,1
305000,2,149.57383,2
350000,2,156.07704,1
499990,2,160.72219,1
465000,2,132.85129,2
349900,3,235.04459,2
746500,3,321.44438,2
500000,2,256.41228,2
870000,3,279.63803,3
525000,2,123.56099,1
275000,1,105.90942,1
379000,1,74.3224,1
810000,3,323.30244,2
322000,2,140.28353,1
250000,2,108.69651,1
229800,1,103.12233,1
274950,2,155.14801,1
525000,2,180.23182,1
510000,3,306.5799,3
600000,3,221.10914,2
448500,2,193.23824,2
359950,3,264.216132,2
717000,2,106.83845,1
387990,3,245.26391999999998,2
280000,2,157.9351,2
515000,3,248.05101,2
675000,3,254.55422,1
220000,2,132.85129,2
195000,1,110.55457,1
1065000,3,301.00572,2
480000,2,158.86413,1
554000,3,319.58632,2
429900,3,245.26391999999998,2
609000,3,370.68297,3
562000,3,282.42512,2
260656,2,150.50286,1
529000,1,122.63195999999999,2
742000,3,261.05743,2
735000,2,235.97362,2
505000,2,117.05778,2
349990,2,125.41905,1
405000,1,117.05778,1
650000,2,213.6769,2
430000,1,91.97397,1
390000,1,79.89658,1
560000,3,230.39944,2
830000,3,279.63803,2
425000,3,234.11556,1
635000,3,228.54138,1
162000,3,133.78032,2
639983,3,260.1284,3
347500,2,150.50286,1
480000,2,106.83845,1
335620,2,167.2254,2
1047000,3,325.1605,3
441000,1,106.83845,1
720168,3,196.95436,2
1038000,3,350.24431,2
285000,2,144.92867999999999,1
305000,3,220.18010999999998,1
220000,2,153.28995,1
152900,1,83.6127,1
419000,3,199.74145,1
525000,2,148.6448,1
626000,2,96.61912,1
492500,1,148.6448,2
406000,1,81.75464,1
255000,2,93.83203,1
704300,3,166.29637,1
299990,1,145.85771,1
475000,2,122.63195999999999,1
420000,2,168.15443,2
445000,2,175.58667,1
240000,2,144.278359,2
325000,2,170.94152,1
695000,2,236.90265,2
190000,3,110.55457,1
541500,1,176.5157,2
490000,3,337.23789,2
325000,3,175.58667,2
280000,2,183.01891,2
325000,2,125.604856,2
345000,1,236.90265,2
525000,3,148.6448,1
595000,2,144.92867999999999,1
875000,3,261.98646,3
570000,2,145.85771,3
616950,3,330.73468,3
602000,3,305.65087,1
625000,2,209.96078,2
385000,1,127.27711,1
300000,2,117.05778,1
255000,2,149.57383,2
232500,2,122.63195999999999,1
1017100,3,377.18618,3
250000,3,136.56741,2
780000,3,291.71542,2
385000,2,176.5157,1
822500,3,215.53496,3
650000,3,177.44473,2
228500,2,100.33524,1
522500,1,132.85129,2
551870,2,232.907821,2
482500,2,134.70935,2
485000,3,217.39302,3
414500,1,112.41263,1
460000,3,182.08988,2
200000,2,114.27069,2
355000,3,204.3866,2
325000,2,137.49644,2
205000,3,204.3866,2
250000,2,192.30921,2
550000,2,141.21256,1
245000,2,117.05778,1
313500,1,117.98681,1
865000,2,248.05101,2
585000,3,288.92833,2
420000,2,162.58025,2
480000,3,208.10272,2
415000,1,99.40621,1
632500,3,245.26391999999998,2
264950,3,164.43831,1
350000,1,132.85129,1
340000,3,219.25108,2
560000,2,191.38018,2
439000,2,137.49644,2
420000,2,115.19972,1
605000,3,209.03175,1
315000,3,196.02533,3
935000,1,165.36734,2
725000,3,317.72826,2
295000,2,133.78032,1
265000,1,153.28995,2
445000,2,172.79958,2
469950,3,299.426369,3
126500,2,104.98039,1
800000,3,289.85735999999997,2
300000,2,199.74145,1
405000,1,79.89658,1
309950,3,164.43831,2
835000,2,145.85771,2
785000,3,277.77997,2
500000,2,263.84452,2
340000,3,247.58649499999999,2
349950,3,244.520696,2
325000,2,98.47718,1
240000,2,93.83203,1
790000,3,295.43154,3
435000,2,131.92226,2
390000,2,100.33524,2
389000,3,141.21256,1
299995,1,98.47718,1
442500,3,183.01891,2
300000,3,194.16727,2
515000,1,97.54814999999999,1
525000,2,183.01891,1
337000,2,99.40621,1
195000,2,110.55457,1
460000,2,150.50286,2
525000,2,185.806,1
259900,2,138.42547,2
966000,3,353.96043,3
212000,3,116.12875,1
551000,2,87.32882,1
193500,1,88.25785,1
749500,3,226.68332,2
455000,2,137.49644,1
663000,2,177.44473,2
890000,3,313.08311,2
450000,2,171.87055,1
739000,2,214.60593,2
505000,2,152.36092,1
710000,3,185.806,2
320000,3,161.65122,1
483500,3,254.55422,2
755000,3,199.74145,2
449950,2,174.65764,2
960000,2,186.73503,2
275000,2,95.69009,1
724000,1,144.92867999999999,1
879950,3,325.1605,2
425000,1,50.16762,1
231500,1,92.903,1
650000,2,143.99965,1
455950,3,252.69616,2
410000,2,282.42512,2
1005000,3,376.25715,3
474950,3,193.23824,2
258000,3,251.76713,3
355000,1,78.03852,1
690000,2,120.7739,2
595000,2,199.74145,2
930000,2,245.26391999999998,3
440000,1,114.27069,1
678000,2,257.34131,2
375000,3,175.58667,1
530000,3,279.63803,2
665000,2,167.2254,1
375000,1,76.18046,1
289950,1,70.60628,1
369000,3,284.28318,2
650000,3,335.37982999999997,2
970000,3,323.30244,3
383610,2,114.27069,2
410000,2,134.70935,2
402500,3,153.28995,2
620000,3,164.43831,2
360000,1,86.39979,1
1050000,2,246.19295,1
370000,3,301.00572,2
205000,2,127.27711,1
502000,3,268.48967,2
465000,3,236.90265,2
875000,2,218.32205,2
518000,3,225.75429,3
380000,3,320.51535,3
475000,2,166.29637,1
890000,1,283.35415,1
599500,3,187.66406,2
490000,1,88.25785,1
940000,3,260.1284,2
589000,2,273.13482,2
745000,3,212.74787,2
392000,3,213.6769,2
450000,1,104.05136,1
285000,1,74.3224,1
210000,3,141.21256,2
453000,2,153.28995,2
750000,3,301.00572,2
775000,2,135.63838,1
439000,3,249.90906999999999,2
305100,2,147.71577,2
318500,3,143.99965,1
410000,2,167.2254,2
930000,1,248.98004,2
469950,2,169.08346,2
855000,3,221.10914,2
210000,2,117.05778,1
315000,3,236.90265,2
729000,3,227.61235,2
829000,2,249.90906999999999,2
210000,2,79.89658,1
355000,3,235.04459,2
650000,2,235.97362,2
320000,3,197.88339,2
558000,2,206.24466,2
640000,3,273.13482,3
299900,3,204.3866,2
178500,2,111.4836,1
725000,3,246.19295,2
434900,2,141.21256,2
265000,3,169.08346,2
505000,2,169.08346,2
926250,3,222.03817,1
630000,3,216.46399,2
252500,1,103.12233,1
610000,2,319.58632,2
216000,2,146.78674,1
490000,2,154.21898,1
463000,2,203.45757,2
700000,3,183.94794,1
660000,2,145.85771,2
619500,3,156.07704,1
474900,2,167.2254,2
145000,2,93.83203,1
585000,3,200.67048,2
400000,3,131.92226,2
232500,2,180.23182,1
898000,2,246.19295,2
555000,3,159.79316,2
837500,3,250.8381,2
650000,3,323.30244,3
268000,2,157.9351,2
665000,3,246.19295,3
431650,3,158.86413,2
331000,2,119.84487,3
542500,3,279.63803,3
580000,3,232.2575,2
455000,2,252.69616,2
548000,1,136.56741,1
768500,3,336.30886,1
225000,3,162.58025,2
637850,3,310.29602,3
385000,1,77.10949,1
429000,1,100.33524,1
397000,3,278.709,2
300000,3,222.9672,3
740000,3,318.65729,2
325000,3,208.10272,2
592500,3,313.08311,2
156000,2,71.53531,1
248000,2,131.92226,1
383000,2,130.99323,1
320000,3,160.72219,1
527500,2,128.20614,2
259000,2,122.63195999999999,1
185000,2,115.19972,1
260000,3,215.53496,2
439000,2,207.17369,2
796000,3,196.02533,3
378000,2,153.28995,2
299950,2,84.54173,1
169500,1,73.39337,1
275000,2,177.44473,2
629800,2,222.03817,2
299900,3,216.46399,2
525000,2,275.92191,2
270000,1,96.61912,1
310000,3,210.88981,3
432000,2,154.21898,2
285000,2,101.26427,1
310000,3,113.34166,1
425000,1,105.90942,2
285750,2,182.08988,2
220000,2,118.91584,1
200000,2,110.55457,2
390000,1,117.98681,1
697000,3,261.98646,3
585083,3,270.34773,2
415000,3,254.55422,3
249900,3,139.3545,2
430000,2,149.57383,1
718500,2,111.4836,1
387500,1,80.82561,1
368000,1,154.21898,1
750000,3,276.85094,3
323400,3,191.38018,3
1031000,2,381.83133,2
505000,1,115.19972,1
765000,3,259.19937,2
350000,1,132.85129,1
899000,3,220.18010999999998,2
159000,2,122.63195999999999,1
935000,3,292.64445,2
915000,2,247.12198,3
500000,2,277.77997,2
320000,2,174.65764,2
299000,2,141.21256,1
426000,3,136.56741,1
689500,3,190.45115,2
549000,1,183.94794,2
315000,1,72.46433999999999,1
330000,2,184.87697,2
420000,2,134.151932,1
231200,2,130.0642,2
350000,2,136.56741,1
212500,2,85.47076,1
606000,2,183.01891,1
425000,3,263.84452,2
208000,2,112.41263,1
250000,2,164.43831,1
510000,3,378.393919,2
790000,3,296.36057,3
411000,1,147.71577,2
250000,1,68.74822,1
277700,1,115.19972,1
795000,3,293.57348,2
397500,3,238.76071,2
400800,3,99.40621,1
499990,2,151.43189,1
355000,3,130.99323,1
780000,3,226.68332,3
300000,3,243.40586,2
760000,3,227.61235,1
1050000,3,301.93475,2
1054690,3,314.94117,3
465750,2,117.05778,1
415000,1,81.75464,1
532000,2,209.96078,3
1130000,3,220.18010999999998,1
360000,2,204.3866,2
770126,3,222.03817,2
695000,3,166.29637,1
377000,1,92.903,1
560000,3,234.11556,2
479000,2,117.05778,2
361000,2,197.88339,1
402000,1,112.41263,1
534000,3,189.52212,1
253000,2,146.78674,1
300000,3,193.23824,2
435000,2,88.25785,1
775000,3,380.9023,3
465000,3,194.16727,2
825000,3,225.75429,2
899000,3,239.68974,2
721000,3,211.81884,2
354000,2,93.83203,2
570000,2,117.05778,1
275000,2,128.20614,2
448000,3,233.18653,2
261500,2,161.65122,2
720000,3,310.29602,2
557000,2,211.81884,2
530000,1,193.23824,2
1033890,3,303.79281,3
535000,1,237.83168,3
511500,3,126.34808,1
965000,3,304.72184,2
850000,3,390.19259999999997,3
350000,2,143.99965,1
550000,2,131.92226,2
740000,3,237.83168,2
601500,2,135.63838,1
460000,3,196.02533,2
422000,2,107.76748,1
455000,1,110.55457,2
430000,3,212.74787,2
425000,2,137.49644,2
400000,2,140.28353,1
220000,2,98.47718,1
365000,3,176.887312,2
692500,3,261.98646,3
361000,2,153.28995,1
609000,3,229.47041,3
275000,1,194.16727,1
725000,3,250.8381,2
372220,2,119.84487,1
655000,1,135.63838,2
387846,3,234.11556,1
550000,2,141.21256,1
207000,2,79.89658,1
335000,2,130.99323,2
253000,2,138.42547,2
350500,1,134.70935,1
299000,2,286.14124,2
937000,2,227.61235,1
435000,2,130.0642,1
410000,2,204.3866,2
517500,2,110.55457,1
335000,2,176.5157,1
375000,1,93.83203,1
710000,3,355.81849,3
437500,2,195.09629999999999,2
760000,3,289.85735999999997,2
449950,3,260.1284,3
900000,3,233.18653,2
374000,1,117.05778,1
490000,3,233.18653,2
203000,1,133.78032,1
375000,1,74.3224,1
367000,3,274.99288,2
620000,2,186.73503,2
849000,3,227.61235,3
524000,2,121.70293,1
385000,2,75.25143,1
685000,2,305.65087,2
302000,3,188.59309,2
335000,2,105.90942,1
297500,3,177.44473,2
928990,3,331.66371,2
588000,2,177.44473,1
240000,2,96.61912,1
387000,2,124.49002,1
843500,3,244.33489,2
478000,2,259.19937,1
304500,3,125.41905,2
788500,3,233.18653,2
402500,2,258.27034,3
369000,3,236.90265,2
208000,2,120.7739,1
378000,2,148.737703,2
442000,2,190.45115,1
327500,2,164.43831,2
350000,2,152.36092,2
395000,1,133.78032,1
451000,3,117.05778,1
250000,1,91.230746,1
344500,3,167.2254,2
312500,3,200.67048,2
299000,1,68.74822,1
520000,3,182.08988,1
455000,2,194.16727,2
319950,1,115.19972,1
651000,2,180.23182,2
283200,3,184.133746,2
265000,2,142.14159,1
257950,2,127.27711,1
280000,1,73.39337,1
314000,3,173.72861,2
480000,2,182.08988,1
540000,3,165.36734,2
560000,2,187.66406,2
445000,2,158.86413,3
833000,3,330.73468,3
280000,3,170.384102,2
415000,2,182.08988,1
401000,1,117.05778,1
883000,3,340.95401,2
780000,3,314.94117,1
817000,2,214.60593,1
530000,2,174.65764,2
405000,3,222.9672,2
799990,3,235.97362,3
175000,3,120.7739,1
815000,2,214.60593,2
452500,2,208.10272,2
420000,3,235.97362,2
270000,2,117.05778,1
570000,2,270.34773,1
506950,2,193.23824,2
451000,2,144.92867999999999,1
475000,2,210.88981,1
400000,3,222.781394,2
428000,1,125.41905,2
375000,2,127.27711,1
257000,2,161.65122,2
325000,1,89.18688,1
290000,2,129.13517,1
750000,2,169.08346,2
280000,2,123.56099,1
425000,3,226.68332,2
325000,1,83.6127,1
998000,3,224.82526,2
385000,2,167.2254,1
542000,2,184.87697,2
395000,2,130.0642,1
360000,3,187.66406,2
715500,2,223.89623,2
500000,2,189.52212,1
399888,3,220.18010999999998,1
254000,2,136.56741,2
441000,2,143.07062,1
203000,2,106.83845,1
